stand,latcoord,longcoord
217B,48.352554375,11.793341180555554
218,48.35235875,11.793363819444444
219A,48.35210138888889,11.793388194444445
219B,48.35198416666667,11.793405486111112
220A,48.351690625,11.79344486111111
220B,48.351559583333334,11.793463124999999
221,48.35134361111111,11.79360111111111
222A,48.35110125,11.793580069444445
222B,48.35095555555556,11.793603125
223A,48.350670694444446,11.793634652777778
223B,48.35052701388889,11.793654513888889
224A,48.350247430555555,11.793687083333333
224B,48.350101875,11.793703402777778
231,48.35096027777778,11.7918025
232,48.35061694444445,11.791865555555555
233,48.350295833333334,11.79191638888889
234,48.34997027777778,11.791992222222222
244,48.35732194444444,11.796878055555556
245,48.35669361111111,11.79696388888889
246,48.356409444444445,11.796970277777778
247,48.356121111111115,11.7972275
248A,48.35588923611111,11.797235902777778
248B,48.355690833333334,11.797273819444445
249A,48.35535472222222,11.797326527777777
249B,48.35518555555556,11.797349375
250,48.35472638888889,11.797503611111111
251A,48.35423881944445,11.797500555555555
251B,48.354024861111114,11.79752875
252A,48.353706875,11.797595069444444
252B,48.353511805555556,11.797616527777777
253,48.353185277777776,11.797548333333333
254,48.35282083333333,11.797601111111112
255,48.35244277777778,11.797684444444444
256,48.35208138888889,11.797736944444445
261,48.35007513888889,11.797896736111111
262,48.350110208333334,11.79827625
263,48.35013479166667,11.798616388888888
301A,48.35746715277778,11.799460833333333
301,48.357274930555555,11.799488958333333
301B,48.35707451388889,11.799513888888889
302,48.35649340277778,11.799645902777778
302A,48.356681458333334,11.799613194444444
302B,48.356300069444444,11.799672708333333
308,48.35588833333333,11.7999325
309,48.35547805555556,11.799967222222222
310,48.35507805555556,11.800060555555556
311,48.354666944444446,11.800125555555557
312,48.35424444444445,11.80020138888889
313,48.353794444444446,11.800055
317,48.353214305555554,11.800277430555557
317A,48.353406250000006,11.800246458333334
317B,48.35301631944444,11.8003075
318,48.352427222222225,11.800387916666667
318A,48.352625208333336,11.800363333333333
318B,48.35221048611111,11.800407916666668
321,48.35639611111111,11.802157222222222
322,48.35598027777778,11.802241111111112
323,48.355515555555556,11.802314444444445
324,48.35509972222222,11.802398333333334
325,48.35472416666667,11.802457777777779
327,48.35362277777778,11.802801666666667
328,48.35308166666667,11.803058611111112
329,48.35279055555556,11.803065833333335
330,48.352249444444446,11.803071666666668
341,48.350210000000004,11.799364166666667
342,48.35022861111111,11.7999125
343,48.35026083333334,11.800443055555556
344,48.35030416666667,11.80099388888889
345,48.35028833333333,11.801534722222224
346,48.35036888888889,11.802062222222222
347,48.350408055555555,11.802621111111112
348,48.35043527777778,11.803152222222224
349,48.35042138888889,11.803719444444445
351,48.35035722222222,11.804535555555557
352,48.350390555555556,11.80510138888889
581,48.359184444444445,11.801963333333335
582,48.35918916666667,11.802525000000001
583,48.35919388888889,11.803336666666667
584,48.35944861111111,11.803898333333334
585,48.359453333333335,11.80446
586,48.35945805555556,11.805021666666667
591,48.35752305555555,11.803059166666667
592,48.357527222222224,11.803613611111112
593,48.35778138888889,11.804167777777778
594,48.35778555555556,11.804722222222223
595,48.35778972222222,11.805026388888889
601,48.34579541666667,11.756338958333334
601A,48.34581756944445,11.756620347222222
601B,48.34577201388889,11.756041527777779
602,48.34571208333334,11.755251597222221
602A,48.34573229166667,11.755546666666667
602B,48.34569131944445,11.75493486111111
603,48.345629236111115,11.754160694444444
603A,48.345650694444444,11.754440208333333
603B,48.345605069444446,11.753868888888888
604,48.34555395833333,11.753079305555556
604A,48.34557458333334,11.753361875
604B,48.34552736111111,11.75279298611111
605,48.345454375,11.752006111111111
605A,48.34547333333334,11.752287222222222
605B,48.34543048611111,11.751708472222223
